Iter     0
USS            H    -11.246958000000
ZS             H      1.268641000000
BETAS          H     -8.352984000000
GSS            H     14.448686000000
USS            C    -51.089653000000
UPP            C    -39.937920000000
ZS             C      2.047558000000
ZP             C      1.702841000000
BETAS          C    -15.385236000000
BETAP          C     -7.471929000000
GSS            C     13.335519000000
GPP            C     10.778326000000
GSP            C     11.528134000000
GP2            C      9.486212000000
HSP            C      0.717322000000

Iter     1
USS            H    -10.154245910779
ZS             H      1.307825756297
BETAS          H     -8.265492428140
GSS            H     16.845143281749
USS            C    -51.060232308950
UPP            C    -39.981278496387
ZS             C      2.043664479887
ZP             C      1.713334714237
BETAS          C    -15.306621476735
BETAP          C     -7.414635781293
GSS            C     13.305675448556
GPP            C     11.537916590912
GSP            C     11.653146239779
GP2            C      9.486411104087
HSP            C      1.359505539849

Iter     2
USS            H    -10.274725362646
ZS             H      1.335723304320
BETAS          H     -8.163707145494
GSS            H     17.410794951339
USS            C    -50.966804735756
UPP            C    -40.022162870208
ZS             C      2.032550719130
ZP             C      1.715873983570
BETAS          C    -15.329118407324
BETAP          C     -7.387301706459
GSS            C     13.305321197124
GPP            C     11.509591784166
GSP            C     11.649999410239
GP2            C      9.505509500098
HSP            C      1.603568557259

